JUSTICE,PHRASE,AT_WINNER_COUNT,AT_LOSER_COUNT,AT_WINNER_PERCENT,AT_LOSER_PERCENT,SGD_LOG_SCORE,NB_LOG_SCORE,RF_IMP_SCORE
KENNEDY,as matter of,0,1,0.0,1.0,0.44595639673765836,-6.534846369584412,
KENNEDY,you want us,18,9,0.6666666666666666,0.33333333333333337,-0.33172464284252534,-6.539056354472901,0.0016635504457484262
KENNEDY,go to the,18,1,0.9473684210526315,0.052631578947368474,0.956567908426946,-6.551840690975002,
KENNEDY,court of appeals,13,9,0.5909090909090909,0.40909090909090906,,-6.553735244755356,0.00108688779308667
KENNEDY,one of the,13,10,0.5652173913043478,0.4347826086956522,,-6.554517359196236,0.0016769087621229736
KENNEDY,want us to,20,16,0.5555555555555556,0.4444444444444444,-0.3316513943570529,-6.5714680907884935,0.0021613909602157064
KENNEDY,would it be,10,3,0.7692307692307693,0.23076923076923073,,-6.574587260806277,0.00337099372850168
KENNEDY,of the statute,17,6,0.7391304347826086,0.26086956521739135,0.47774085516268905,-6.5826017506365435,
KENNEDY,cause of action,11,4,0.7333333333333333,0.2666666666666667,0.8043493412171325,-6.590483840134876,
KENNEDY,is there some,12,3,0.8,0.19999999999999996,0.8674561219971041,-6.594472652205102,
KENNEDY,it has to,13,6,0.6842105263157895,0.3157894736842105,,-6.597808379374889,0.0010736765721872123
KENNEDY,you say that,16,7,0.6956521739130435,0.30434782608695654,0.34081998197176044,-6.599630631342928,
KENNEDY,back to the,14,7,0.6666666666666666,0.33333333333333337,,-6.624236584430103,0.0011993517472904355
KENNEDY,in other words,1,4,0.2,0.8,-0.8921526972082136,-6.627140744825101,0.007452959901627239
KENNEDY,you agree that,11,2,0.8461538461538461,0.15384615384615385,0.3673186179380345,-6.627623433855634,
KENNEDY,that if the,21,10,0.6774193548387096,0.32258064516129037,,-6.630167517688594,0.0028058092738865296
KENNEDY,not sure that,13,3,0.8125,0.1875,0.5057990822258644,-6.630791317461254,
KENNEDY,if you have,10,4,0.7142857142857143,0.2857142857142857,0.5206667070260519,-6.632353508114278,
KENNEDY,to show that,14,7,0.6666666666666666,0.33333333333333337,,-6.637388091308228,
KENNEDY,of your argument,13,4,0.7647058823529411,0.23529411764705888,0.5600442682630409,-6.63919611542699,
KENNEDY,if there is,12,5,0.7058823529411765,0.2941176470588235,0.4347639484779337,-6.649426169814072,
KENNEDY,seem to me,19,9,0.6785714285714286,0.3214285714285714,,-6.650671324861527,0.001351327143104015
KENNEDY,that the court,9,3,0.75,0.25,0.5539027958619441,-6.66626187903362,
KENNEDY,that in the,15,6,0.7142857142857143,0.2857142857142857,,-6.672338561535993,
KENNEDY,and this is,11,1,0.9166666666666666,0.08333333333333337,0.6572648694435467,-6.679849273401841,
KENNEDY,saying that the,17,10,0.6296296296296297,0.37037037037037035,0.3333415550684818,-6.686919178225962,
KENNEDY,your answer to,15,6,0.7142857142857143,0.2857142857142857,,-6.6896270224317576,
KENNEDY,have the same,15,4,0.7894736842105263,0.21052631578947367,0.46811864540706594,-6.691393224981786,
KENNEDY,you think that,10,3,0.7692307692307693,0.23076923076923073,0.6395561396470572,-6.7034684618690115,
KENNEDY,is going to,15,9,0.625,0.375,,-6.705848433955458,
KENNEDY,all of the,15,4,0.7894736842105263,0.21052631578947367,0.3733052195222059,-6.713675438919204,0.0017806444662666167
KENNEDY,based on the,8,3,0.7272727272727273,0.2727272727272727,0.42300260954296814,-6.719782825946798,
KENNEDY,you want to,12,8,0.6,0.4,,-6.72270969805678,0.0015468138340089996
KENNEDY,answer to justice,0,0,,,,-6.730803784304818,0.0011366104613239315
